execution_time,rows_scanned,has_join,priority
0.123,30,0,LOW
0.049,147,0,LOW
0.13,918,0,LOW
0.113,37,0,LOW
0.044,522,0,LOW
0.108,738,0,LOW
0.105,230,0,LOW
0.055,895,0,LOW
0.154,719,0,LOW
0.055,225,1,LOW
0.066,99,0,LOW
0.07,357,0,LOW
0.154,752,0,LOW
0.026,949,0,LOW
0.106,854,0,LOW
0.169,375,0,LOW
0.135,51,0,LOW
0.148,86,1,LOW
0.165,394,0,LOW
0.122,378,0,LOW
0.069,691,0,LOW
0.178,668,0,LOW
0.122,551,0,LOW
0.034,393,0,LOW
0.176,709,0,LOW
0.131,868,0,LOW
0.013,846,0,LOW
0.062,279,0,LOW
0.174,585,1,LOW
0.062,676,0,LOW
0.168,663,0,LOW
0.053,257,0,LOW
0.104,769,0,LOW
0.171,413,0,LOW
0.189,146,0,LOW
0.02,53,1,LOW
0.032,168,0,LOW
0.082,70,0,LOW
0.114,484,0,LOW
0.185,886,1,LOW
0.13,122,0,LOW
0.103,278,0,LOW
0.067,305,0,LOW
0.088,981,0,LOW
0.138,1000,0,LOW
0.036,939,0,LOW
0.12,866,0,LOW
0.117,161,0,LOW
0.033,981,0,LOW
0.102,5,0,LOW
0.094,119,1,LOW
0.167,856,1,LOW
0.048,251,1,LOW
0.18,92,0,LOW
0.156,783,0,LOW
0.027,680,0,LOW
0.106,276,0,LOW
0.116,992,0,LOW
0.104,752,0,LOW
0.136,413,1,LOW
0.125,453,1,LOW
0.087,258,0,LOW
0.066,607,0,LOW
0.113,12,0,LOW
0.121,239,0,LOW
0.009,343,0,LOW
0.048,690,0,LOW
0.104,745,1,LOW
0.11,489,0,LOW
0.091,421,0,LOW
0.021,446,0,LOW
0.08,889,0,LOW
0.129,666,0,LOW
0.078,352,1,LOW
0.023,201,0,LOW
0.087,437,0,LOW
0.09,900,1,LOW
0.086,887,1,LOW
0.021,672,1,LOW
0.159,997,0,LOW
0.144,247,0,LOW
0.094,223,1,LOW
0.172,173,0,LOW
0.187,276,1,LOW
0.15,297,0,LOW
0.182,807,0,LOW
0.137,163,0,LOW
0.044,64,0,LOW
0.104,770,0,LOW
0.012,493,0,LOW
0.162,166,0,LOW
0.098,876,0,LOW
0.114,696,1,LOW
0.079,969,1,LOW
0.049,613,0,LOW
0.018,678,0,LOW
0.101,962,0,LOW
0.128,326,0,LOW
0.077,692,0,LOW
0.089,956,0,LOW
0.018,50000,0,LOW
0.085,70000,0,LOW
0.18,85000,0,LOW
0.179,90000,0,LOW
0.258,7984,1,MEDIUM
0.305,12436,1,MEDIUM
0.895,13108,0,MEDIUM
0.546,18800,1,MEDIUM
0.683,18332,0,MEDIUM
0.846,10810,1,MEDIUM
0.282,5400,0,MEDIUM
0.903,19128,0,MEDIUM
0.423,7901,1,MEDIUM
0.361,9650,1,MEDIUM
0.398,2664,0,MEDIUM
0.535,10066,0,MEDIUM
0.464,5286,1,MEDIUM
0.407,15478,1,MEDIUM
0.538,1316,0,MEDIUM
0.947,5884,1,MEDIUM
0.859,19105,0,MEDIUM
0.301,11101,0,MEDIUM
0.937,2307,1,MEDIUM
0.366,9176,1,MEDIUM
0.479,19346,1,MEDIUM
0.521,6064,1,MEDIUM
0.387,6324,1,MEDIUM
0.841,14510,0,MEDIUM
0.782,11885,1,MEDIUM
0.525,9131,0,MEDIUM
0.822,4542,0,MEDIUM
0.231,16423,0,MEDIUM
0.845,16083,0,MEDIUM
0.848,8457,0,MEDIUM
0.721,14056,0,MEDIUM
0.883,10146,0,MEDIUM
0.602,18570,0,MEDIUM
0.222,9559,0,MEDIUM
0.96,9698,0,MEDIUM
0.671,12327,1,MEDIUM
0.448,17758,0,MEDIUM
0.911,7228,0,MEDIUM
0.76,1055,1,MEDIUM
0.837,7456,0,MEDIUM
0.255,11819,1,MEDIUM
0.724,5083,1,MEDIUM
0.437,11134,1,MEDIUM
0.458,10688,1,MEDIUM
0.352,13423,1,MEDIUM
0.913,19648,0,MEDIUM
0.633,1013,0,MEDIUM
0.366,11559,0,MEDIUM
0.549,8002,1,MEDIUM
0.827,6560,1,MEDIUM
0.424,11983,0,MEDIUM
0.952,8696,1,MEDIUM
0.377,7525,0,MEDIUM
0.237,16569,1,MEDIUM
0.807,15923,0,MEDIUM
0.698,7371,1,MEDIUM
0.503,14095,0,MEDIUM
0.718,1181,1,MEDIUM
0.88,4492,1,MEDIUM
0.373,17972,0,MEDIUM
0.64,4976,0,MEDIUM
0.833,18404,1,MEDIUM
0.67,15502,1,MEDIUM
0.768,17540,0,MEDIUM
0.916,15611,1,MEDIUM
0.787,16554,0,MEDIUM
0.794,10086,1,MEDIUM
0.612,8839,0,MEDIUM
0.261,10362,0,MEDIUM
0.465,18699,0,MEDIUM
0.319,13551,1,MEDIUM
0.758,3104,0,MEDIUM
0.461,16267,0,MEDIUM
0.363,14767,0,MEDIUM
0.808,1640,1,MEDIUM
0.805,13464,0,MEDIUM
0.945,10784,1,MEDIUM
0.874,14730,1,MEDIUM
